u,v,key,oneway,highway,name,length,lanes,width,est_width,maxspeed,access,service,bridge,tunnel,area,junction,osmid,ref
213216420,213225127,0,False,secondary,West Main Street,961.931,,,,,,,,,,,132182632,NY 7;NY 10
213225127,213216420,0,False,secondary,West Main Street,961.931,,,,,,,,,,,132182632,NY 7;NY 10
