year,month,day,hour,minute,lat,lon
2021,09,11,9,35,40.667202,-73.8665
2021,12,14,8,13,40.683304,-73.917274
2021,12,14,17,05,40.709183,-73.956825
2021,12,14,8,17,40.86816,-73.83148
2021,12,14,21,10,40.67172,-73.8971
2021,12,14,14,58,40.75144,-73.97397
2021,12,13,0,34,40.701275,-73.88887
2021,12,14,16,50,40.675884,-73.75577
2021,12,14,0,59,40.59662,-74.00231
2021,12,14,23,10,40.66684,-73.78941
2021,12,14,17,58,40.68158,-73.97463
2021,12,14,20,03,40.65068,-73.95881
2021,12,11,19,43,40.87262,-73.904686
2021,12,14,14,30,40.783268,-73.82485
2021,12,11,4,45,40.748917,-73.993546
2021,12,14,5,46,40.744644,-73.77041
2021,12,13,6,30,40.75373,-73.88505
2021,12,14,3,43,40.804375,-73.93742
2021,12,13,17,40,40.63165,-74.08762
2021,12,14,17,31,40.623104,-73.95809
2021,12,14,20,13,40.66576,-73.9845
2021,12,14,12,54,40.687534,-73.9775
2021,12,14,17,15,40.710957,-73.951126
2021,12,14,22,49,40.81813,-73.910126
2021,12,12,9,00,40.70447,-73.90148
2021,12,14,16,25,40.784615,-73.953964
2022,07,12,17,50,40.663303,-73.96049
2021,07,09,0,43,40.720535,-73.88885
2022,04,24,16,45,40.607685,-74.13892
2022,04,24,4,49,40.855972,-73.869896
2022,04,22,17,17,40.790276,-73.9396
2022,04,24,1,30,40.642986,-74.01621
2022,04,24,6,00,0.0,0.0
2022,04,24,21,40,40.843906,-73.92413
2022,04,24,17,45,40.89481,-73.86183
2022,04,15,6,11,0.0,0.0
2022,04,24,9,51,40.85169,-73.95238
2022,04,24,0,00,40.861862,-73.91275
2022,03,08,20,00,40.666256,-73.900215
2022,04,24,15,35,40.767242,-73.986206
2022,04,22,12,00,40.62417,-73.97048
2022,04,24,13,10,40.679955,-73.97491
2022,04,24,4,20,40.692356,-73.94282
2022,04,20,19,37,40.78291,-73.98578
2022,04,24,16,14,40.67308,-73.91124
2022,04,12,19,56,40.65011,-73.930214
2022,04,24,0,30,40.638382,-74.03668
2022,04,24,20,13,40.69261,-73.81143
2022,04,24,15,21,40.745235,-73.937706
2022,04,24,21,00,40.758705,-73.93793
2022,04,24,21,40,40.695156,-73.845406
2022,04,07,14,14,40.748158,-73.97033
2021,06,29,17,35,40.609535,-73.75372
2021,12,09,20,20,40.59207,-73.96299
2021,12,09,14,50,40.850018,-73.9107
2021,12,09,2,45,40.653023,-73.73895
2021,12,06,22,16,40.62573,-73.9564
2021,12,04,12,00,40.665375,-73.934235
2021,12,08,16,20,40.776237,-73.943825
2021,12,09,23,15,40.640835,-73.98967
